%% LaTeX2e file `results.csv'
%% generated by the `filecontents' environment
%% from source `Verslag_openCl' on 2018/05/13.
%%
2,0.000020,0.001354,0.001374,0.001713
4,0.000032,0.001403,0.001616,0.001740
8,0.000084,0.001435,0.001432,0.001802
16,0.000297,0.001554,0.001604,0.002014
32,0.001462,0.001492,0.001504,0.002374
64,0.004634,0.002012,0.002025,0.003951
128,0.018927,0.003325,0.003342,0.009255
256,0.074447,0.007342,0.007291,0.017675
512,0.298560,0.013389,0.013361,0.030005
1024,1.199929,0.026264,0.026623,0.083283
2048,4.786847,0.070001,0.060309,0.187174
4096,19.115835,0.181524,0.181600,0.536761
8192,76.570487,0.764762,0.728157,1.856455
16384,0,2.595713,2.625760,7.400403
32768,0,11.846362,11.865299,30.745776
65536,0,47.805630,47.775654,268.237756
131072,0,172.297190,171.784650,0
